invoice_number,invoice_date,vendor,description,amount_usd,status,original_filename,sha256,blob_prefix,source,document_type,payment_status,sensitivity,index_allowed
0103,2026-07-10,Avaron AI,"Monthly physical space and energy usage for Avaron Solar Datacenter Site #1",2570.94,PAID,Invoice-0103.pdf,05dc182cdd27b4d864ae546dcaf96836921c8745d7e859ca7b8942a689990092,raw/99_restricted/avaron/2026-07-10,avaron,invoice,paid,restricted,false
0104,2026-07-10,Avaron AI,"Coordinated installation fee for Avaron Solar Site #1",500.00,PAID,Invoice-0104.pdf,95ec90fcf32b9cdb901e1c710305a9a882933df087fc90e65dd48bda6eea1ff4,raw/99_restricted/avaron/2026-07-10,avaron,invoice,paid,restricted,false
